page	raw	simplified	best_site	score
PAGE 3	RODAPGGR5025X250X85	RODAPGGR5025X250X85	Roda PGS 50x250x85 - qualquer grão	0.588
PAGE 3	RODAPGGR5050X250X85	RODAPGGR5050X250X85	Rodas PGS 30x150x25	0.632
PAGE 3	RODAPGGR6025X150X45	RODAPGGR6025X150X45	Rodas PGS 30x150x25	0.684
PAGE 3	RODAPGGR6030X150X45	RODAPGGR6030X150X45	Rodas PGS 30x150x25	0.737
PAGE 3	RODAPGGR6050X150X45	RODAPGGR6050X150X45	Rodas PGS 30x150x25	0.684
PAGE 3	RODAPGGR6050X250X85	RODAPGGR6050X250X85	Rodas PGS 30x150x25	0.632
PAGE 3	RODAPGGR6050X300X110	RODAPGGR6050X300X110	Rodas PGS 30x150x25	0.513
PAGE 3	RODAPGGR60025X150X45	RODAPGGR60025X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR60025X250X85	RODAPGGR60025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 3	RODAPGGR60040X250X85	RODAPGGR60040X250X85	Rodas PGS 30x150x25	0.564
PAGE 3	RODAPGGR60050X150X45	RODAPGGR60050X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR60050X250X85	RODAPGGR60050X250X85	Rodas PGS 30x150x25	0.615
PAGE 3	RODAPGGR60050X300X110	RODAPGGR60050X300X110	Roda PG Mista Berwanger 100x50xM14	0.509
PAGE 3	RODAPGGR8025X150X45	RODAPGGR8025X150X45	Rodas PGS 30x150x25	0.684
PAGE 3	RODAPGGR8025X250X85	RODAPGGR8025X250X85	Rodas PGS 30x150x25	0.579
PAGE 3	RODAPGGR8030X150X25	RODAPGGR8030X150X25	Rodas PGS 30x150x25	0.789
PAGE 3	RODAPGGR8040X250X85	RODAPGGR8040X250X85	Rodas PGS 30x150x25	0.579
PAGE 3	RODAPGGR8050X150X45	RODAPGGR8050X150X45	Rodas PGS 30x150x25	0.684
PAGE 3	RODAPGGR8050X250X85	RODAPGGR8050X250X85	Rodas PGS 30x150x25	0.632
PAGE 3	RODAPGGR8050X300X110	RODAPGGR8050X300X110	Rodas PGS 30x150x25	0.513
PAGE 3	RODAPGGR80025X150X45	RODAPGGR80025X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR80050X150X45	RODAPGGR80050X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGMISTA100X50XM14GR120	RODAPGMISTA100X50XM14GR120	Roda PG Mista Berwanger 100x50xM14	0.7
PAGE 3	RODAPGMISTA100X50XM14GR180	RODAPGMISTA100X50XM14GR180	Roda PG Mista Berwanger 100x50xM14	0.7
PAGE 3	RODAPGMISTA100X50XM14GR240	RODAPGMISTA100X50XM14GR240	Roda PG Mista Berwanger 100x50xM14	0.7
PAGE 3	RODAPGMISTA100X50XM14GR320	RODAPGMISTA100X50XM14GR320	Roda PG Mista Berwanger 100x50xM14	0.7
PAGE 3	RODAPGMISTA100X50XM14GR80	RODAPGMISTA100X50XM14GR80	Roda PG Mista Berwanger 100x50xM14	0.712
PAGE 3	RODAPGMISTA115X20XM14GR180	RODAPGMISTA115X20XM14GR180	Roda PG Mista Berwanger 115x20xM14	0.7
PAGE 4	RODAPGGR10025X150X25	RODAPGGR10025X150X25	Rodas PGS 30x150x25	0.718
PAGE 4	RODAPGGR10025X150X45	RODAPGGR10025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR10025X250X85	RODAPGGR10025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 4	RODAPGGR10030X150X45	RODAPGGR10030X150X45	Rodas PGS 30x150x25	0.718
PAGE 4	RODAPGGR10050X150X45	RODAPGGR10050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR10050X250X85	RODAPGGR10050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR12025X150X45	RODAPGGR12025X150X45	Rodas PGS 30x150x25	0.667
