page	raw	simplified	best_site	score
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG10050X2700	LIXAAMARELA CINTADELIXALS312JFG10050X2700	Lixa Amarela LS312JF 50x1200	0.725
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG10070X2300	LIXAAMARELA CINTADELIXALS312JFG10070X2300	Lixa Amarela LS312JF 50x1200	0.638
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG10075X2300	LIXAAMARELA CINTADELIXALS312JFG10075X2300	Lixa Amarela LS312JF 50x1200	0.638
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG12050X2000	LIXAAMARELA CINTADELIXALS312JFG12050X2000	Lixa Amarela LS312JF 50x1200	0.667
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG15050X2000	LIXAAMARELA CINTADELIXALS312JFG15050X2000	Lixa Amarela LS312JF 50x1200	0.725
PAGE 10	ADAPTADORFLANGE25X150X13	ADAPTADORFLANGE25X150X13	Roda Ventilada Flanela 250x13	0.528
PAGE 10	ADAPTADORFLANGE50X150X13	ADAPTADORFLANGE50X150X13	Roda Ventilada Flanela 250x13	0.491
PAGE 10	ADAPTADORFLANGE50X250X25	ADAPTADORFLANGE50X250X25	Disco Flap Feltro Berwanger 115x22mm	0.467
PAGE 10	ADAPTADORFLANGE50X250X32	ADAPTADORFLANGE50X250X32	Roda Standard Sisal 4 250x32	0.5
PAGE 10	AVENTALBARBEIRO	AVENTALBARBEIRO	Avental Barbeiro Raspa	0.811
PAGE 10	AVENTALSOLDADOR	AVENTALSOLDADOR	Avental Soldador Raspa	0.811
PAGE 10	CABODEOSSOEMADEIRA	CABODEOSSOEMADEIRA	Disco Flap Acabamento Grosso Marrom	0.415
PAGE 10	CASACORASPA	CASACORASPA	Avental Soldador Raspa	0.545
PAGE 10	CINTASCOTHBRITEAZULG18050X2000-KLINGSPOR	CINTASCOTHBRITEAZULG18050X2000 KLINGSPOR	PG Misto Scoth Brite 50x150	0.478
PAGE 10	CINTASCOTHBRITECINZAG6050X2000-KLINGSPOR	CINTASCOTHBRITECINZAG6050X2000 KLINGSPOR	PG Misto Scoth Brite 50x150	0.478
PAGE 10	CINTASCOTHBRITEROXAG12050X2000-KLINGSPOR	CINTASCOTHBRITEROXAG12050X2000 KLINGSPOR	Cinta Zircônia Deerfos XZ677 50x2000	0.5
PAGE 10	CINTASCOTHBRITEVERDEG15050X2000-KLINGSPOR	CINTASCOTHBRITEVERDEG15050X2000 KLINGSPOR	Cinta Zircônia Deerfos XZ677 50x2000	0.468
PAGE 10	DISCODECORTENORTON7POLX16	DISCODECORTENORTON7POLX16	Disco de Corte Berwanger 115x22,2mm	0.5
PAGE 10	DISCODECORTEBERWANGER-DISCODCI10115X22,2MM	DISCODECORTEBERWANGER DISCODCI10115X22 2MM	Disco de Corte Berwanger 115x22,2mm	0.831
PAGE 10	DISCODECORTEKLINGSPOR-115X1X22,23	DISCODECORTEKLINGSPOR 115X1X22 23	Disco de Corte Berwanger 115x22,2mm	0.706
PAGE 10	DISCODEESPONJAACABAMENTOPRO-115X22MM	DISCODEESPONJAACABAMENTOPRO 115X22MM	Disco Esponja Acabamento Berwanger	0.657
PAGE 10	DISCODEFLAPBERWANGER115X22MMGR120	DISCODEFLAPBERWANGER115X22MMGR120	Disco Flap Berwanger 115x22mm	0.839
PAGE 10	DISCODEFLAPBERWANGER115X22MMGR40	DISCODEFLAPBERWANGER115X22MMGR40	Disco Flap Berwanger 115x22mm	0.852
PAGE 10	DISCODEFLAPBERWANGER115X22MMGR60	DISCODEFLAPBERWANGER115X22MMGR60	Disco Flap Berwanger 115x22mm	0.852
PAGE 10	DISCODEFLAPBERWANGER115X22MMGR80	DISCODEFLAPBERWANGER115X22MMGR80	Disco Flap Berwanger 115x22mm	0.852
PAGE 10	DISCODEFLAPFELTRO115X22MM	DISCODEFLAPFELTRO115X22MM	Disco Flap Feltro Berwanger 115x22mm	0.754
PAGE 10	DISCODEFLAPKLINGSPOR115X22,23GR40	DISCODEFLAPKLINGSPOR115X22 23GR40	Disco Flap Berwanger 115x22mm	0.581
PAGE 10	DISCODEFLAPKLINGSPOR115X22,23GR60	DISCODEFLAPKLINGSPOR115X22 23GR60	Disco Flap Berwanger 115x22mm	0.581
PAGE 10	DISCODELIXAGR5050X180	DISCODELIXAGR5050X180	Disco de Lixa Red Deerfos 300	0.56
PAGE 10	DISCOFLAPACABAMENTO115X22MMFINOAZUL	DISCOFLAPACABAMENTO115X22MMFINOAZUL	Disco Flap Acabamento Médio Vermelho	0.62
PAGE 10	DISCOFLAPACABAMENTO115X22MMGROSSOMARRON	DISCOFLAPACABAMENTO115X22MMGROSSOMARRON	Disco Flap Acabamento Grosso Marrom	0.811
PAGE 10	DISCOFLAPACABAMENTO115X22MMMEDIOVERMELHO	DISCOFLAPACABAMENTO115X22MMMEDIOVERMELHO	Disco Flap Acabamento Médio Vermelho	0.842
PAGE 10	DISCOLIXA3MGR120	DISCOLIXA3MGR120	Disco de Lixa 3M 178x22,3	0.634
PAGE 10	DISCOLIXA3MGR24	DISCOLIXA3MGR24	Disco de Lixa 3M 178x22,3	0.6
PAGE 10	DISCOLIXA3MGR36	DISCOLIXA3MGR36	Disco de Lixa 3M 178x22,3	0.6
PAGE 10	DISCOLIXA3MGR80	DISCOLIXA3MGR80	Disco de Lixa 3M 178x22,3	0.6
PAGE 10	DISCOREMOVEDOR115X22MM	DISCOREMOVEDOR115X22MM	Disco Removedor Berwanger 115x22mm	0.786
PAGE 10	ES.C.30O.75.5AR-ESCOVADECORDATORCIDA5ARGOLAS	ES C 30O 75 5AR ESCOVADECORDATORCIDA5ARGOLAS	Escova de Corda Torcida 5 argolas	0.727
PAGE 10	ES.CT.4O0.32.2AR.4-ESCOVADECORDATRANCADA2ARGOLAS	ES CT 4O0 32 2AR 4 ESCOVADECORDATRANCADA2ARGOLAS	Escova de Corda Trançada 2 argolas	0.707
PAGE 10	ESCOVADEFIBRA250X32	ESCOVADEFIBRA250X32	Escova de Fibra 250x32	0.927
PAGE 10	ESCOVADEFIBRA300X32	ESCOVADEFIBRA300X32	Escova de Fibra 350x32	0.878
PAGE 10	ESCOVADELIXA70X300	ESCOVADELIXA70X300	Escova de Fibra 250x32	0.65
PAGE 10	FELTRORECICLADO	FELTRORECICLADO	Avental Soldador Raspa	0.378
PAGE 10	FOLHASCOTCHBRITE-240MMX130MM	FOLHASCOTCHBRITE 240MMX130MM	PG Misto Scoth Brite 25x150	0.582
PAGE 10	DISCO FLAP BERVANGER 18OX22MM GR40	DISCO FLAP BERVANGER 18OX22MM	Disco Flap Berwanger 115x22mm	0.897
